,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
13,0021900816,1610612762,UTA,Utah,202711,Bojan Bogdanovic,F,,35:00,118.3,119.7,93.4,93.1,24.9,26.7,0.174,1.33,16.7,0.0,0.175,0.101,12.5,0.618,0.631,0.256,0.257,98.44,98.06,81.71,71,0.136
14,0021900816,1610612762,UTA,Utah,1626220,Royce O'Neale,F,,38:54,109.8,111.4,96.6,96.3,13.2,15.1,0.065,1.0,16.7,0.054,0.07,0.063,16.7,0.429,0.444,0.112,0.112,98.65,98.11,81.76,79,0.02
15,0021900816,1610612762,UTA,Utah,203497,Rudy Gobert,C,,36:35,123.1,122.7,89.7,89.3,33.5,33.3,0.037,0.5,6.3,0.167,0.349,0.274,12.5,0.583,0.621,0.183,0.186,98.04,98.41,82.0,75,0.175
16,0021900816,1610612762,UTA,Utah,204060,Joe Ingles,G,,31:44,123.4,121.5,96.3,94.0,27.0,27.5,0.346,9.0,45.0,0.0,0.054,0.031,5.0,0.111,0.202,0.155,0.157,97.89,99.82,83.18,65,0.04
17,0021900816,1610612762,UTA,Utah,1628378,Donovan Mitchell,G,,35:26,116.9,118.3,93.4,93.1,23.5,25.3,0.174,1.33,16.0,0.0,0.125,0.072,12.0,0.688,0.732,0.269,0.27,97.24,96.86,80.71,71,0.196
18,0021900816,1610612762,UTA,Utah,203903,Jordan Clarkson,,,25:22,116.0,118.2,112.8,106.9,3.2,11.3,0.214,1.5,17.6,0.037,0.115,0.075,11.8,0.833,0.844,0.23,0.229,105.02,106.91,89.09,55,0.16
19,0021900816,1610612762,UTA,Utah,1627777,Georges Niang,,,13:00,109.6,110.7,120.1,113.3,-10.4,-2.6,0.0,0.0,0.0,0.0,0.154,0.067,14.3,0.5,0.595,0.219,0.217,104.49,107.08,89.23,28,0.07
20,0021900816,1610612762,UTA,Utah,1628396,Tony Bradley,,,11:25,94.5,96.0,134.3,130.8,-39.8,-34.8,0.0,0.0,0.0,0.125,0.4,0.231,0.0,1.0,0.926,0.138,0.136,106.62,107.21,89.34,25,0.225
21,0021900816,1610612762,UTA,Utah,1626144,Emmanuel Mudiay,,,12:34,113.2,114.3,120.1,113.3,-6.9,1.0,0.0,0.0,0.0,0.0,0.154,0.067,0.0,0.0,0.377,0.219,0.217,108.1,110.77,92.31,28,0.051
22,0021900816,1610612762,UTA,Utah,1629752,Juwan Morgan,,DNP - Coach's Decision                  ,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
23,0021900816,1610612762,UTA,Utah,1629671,Miye Oni,,DNP - Coach's Decision                  ,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
24,0021900816,1610612762,UTA,Utah,1629730,Rayjon Tucker,,DNP - Coach's Decision                  ,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0,0021900798,1610612762,UTA,Utah,1626220,Royce O'Neale,F,,32:18,128.5,128.4,123.8,127.7,4.7,0.7,0.032,1.0,33.3,0.056,0.091,0.078,33.3,1.5,1.5,0.028,0.029,99.54,98.08,81.73,67,0.03
1,0021900798,1610612762,UTA,Utah,202711,Bojan Bogdanovic,F,,33:23,118.7,120.3,123.6,126.5,-4.9,-6.2,0.083,2.0,9.1,0.0,0.088,0.057,4.5,0.531,0.603,0.278,0.278,100.28,98.49,82.08,69,0.097
2,0021900798,1610612762,UTA,Utah,203497,Rudy Gobert,C,,35:55,117.0,116.0,123.1,125.7,-6.1,-9.7,0.042,0.5,8.3,0.091,0.351,0.254,16.7,1.0,0.924,0.139,0.142,100.18,99.56,82.97,75,0.153
3,0021900798,1610612762,UTA,Utah,204060,Joe Ingles,G,,31:58,114.8,110.8,124.8,126.2,-10.1,-15.4,0.333,4.0,42.1,0.0,0.111,0.053,10.5,0.313,0.394,0.149,0.153,96.4,97.6,81.33,65,0.096
