,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021900816,1610612762,Jazz,UTA,Utah,240:00,115.9,117.2,101.0,101.0,14.9,16.2,0.561,1.53,17.3,0.261,0.849,0.576,14.982,15.2,0.565,0.61,1.0,0.198,100.08,99.5,82.92,99,0.593
0,0021900798,1610612762,Jazz,UTA,Utah,240:00,125.2,125.5,119.4,121.4,5.8,4.1,0.587,1.29,20.0,0.314,0.848,0.617,21.376,21.4,0.686,0.705,1.0,0.198,98.94,98.0,81.67,98,0.515
0,0021900790,1610612762,Jazz,UTA,Utah,240:00,114.1,117.5,110.6,116.5,3.5,1.0,0.595,1.56,18.5,0.304,0.759,0.55,16.013,16.5,0.576,0.607,1.0,0.198,101.04,97.0,80.83,97,0.532
0,0021900776,1610612762,Jazz,UTA,Utah,240:00,113.0,117.0,111.6,112.9,1.4,4.1,0.467,1.4,15.3,0.34,0.782,0.571,14.484,15.0,0.549,0.576,1.0,0.199,102.86,100.5,83.75,100,0.539
0,0021900762,1610612762,Jazz,UTA,Utah,240:00,95.8,97.9,102.2,101.0,-6.4,-3.1,0.556,1.43,15.9,0.212,0.727,0.477,14.119,14.4,0.5,0.515,1.0,0.2,97.54,97.0,80.83,97,0.456
0,0021900735,1610612762,Jazz,UTA,Utah,240:00,110.4,111.5,126.6,127.8,-16.3,-16.4,0.475,1.9,15.0,0.241,0.617,0.416,10.314,10.4,0.521,0.546,1.0,0.198,97.44,96.5,80.42,96,0.423
0,0021900718,1610612762,Jazz,UTA,Utah,240:00,103.6,106.4,110.1,111.6,-6.5,-5.2,0.667,1.5,19.1,0.2,0.733,0.467,16.584,17.0,0.571,0.585,1.0,0.201,96.36,94.5,78.75,94,0.441
0,0021900711,1610612762,Jazz,UTA,Utah,240:00,114.0,116.5,126.7,127.0,-12.7,-10.5,0.486,1.38,13.3,0.377,0.865,0.578,12.353,12.6,0.524,0.576,1.0,0.201,102.72,101.5,84.58,103,0.421
0,0021900698,1610612762,Jazz,UTA,Utah,240:00,104.1,107.3,111.0,115.6,-6.9,-8.3,0.558,1.33,17.3,0.182,0.765,0.495,16.009,16.5,0.576,0.607,1.0,0.199,113.0,109.0,90.83,109,0.487
0,0021900680,1610612762,Jazz,UTA,Utah,240:00,110.1,113.1,105.2,109.2,5.0,3.9,0.55,1.69,16.2,0.327,0.741,0.54,12.785,13.1,0.522,0.556,1.0,0.201,101.7,98.5,82.08,99,0.56
0,0021900665,1610612762,Jazz,UTA,Utah,240:00,130.1,131.6,100.5,98.0,29.7,33.7,0.62,2.82,21.4,0.388,0.778,0.592,11.098,11.2,0.629,0.625,1.0,0.196,97.34,98.0,81.67,98,0.662
0,0021900651,1610612762,Jazz,UTA,Utah,240:00,115.4,119.2,87.1,89.8,28.3,29.4,0.468,1.05,16.3,0.4,0.786,0.625,20.532,21.2,0.609,0.639,1.0,0.2,101.68,98.5,82.08,99,0.636
0,0021900636,1610612762,Jazz,UTA,Utah,240:00,128.7,128.1,107.1,105.2,21.6,22.9,0.558,2.4,18.5,0.279,0.844,0.568,10.465,10.4,0.588,0.644,1.0,0.197,94.92,96.0,80.0,96,0.63
0,0021900616,1610612762,Jazz,UTA,Utah,265:00,113.7,118.9,122.8,123.2,-9.1,-4.3,0.5,1.77,15.3,0.293,0.761,0.5,11.199,11.7,0.535,0.579,1.0,0.2,103.46,100.98,84.15,111,0.442
0,0021900599,1610612762,Jazz,UTA,Utah,240:00,117.3,122.9,109.6,110.3,7.7,12.6,0.413,2.11,15.0,0.239,0.714,0.484,8.946,9.4,0.571,0.598,1.0,0.195,99.1,96.5,80.42,96,0.537
1,0021900585,1610612762,Jazz,UTA,Utah,240:00,127.0,127.0,114.3,116.0,12.7,11.0,0.5,2.18,17.6,0.311,0.739,0.527,11.0,11.0,0.589,0.629,1.0,0.2,100.74,100.0,83.33,100,0.53
0,0021900574,1610612762,Jazz,UTA,Utah,240:00,118.3,116.0,94.5,97.9,23.8,18.1,0.7,1.75,21.7,0.244,0.727,0.494,17.361,17.0,0.62,0.64,1.0,0.2,94.76,94.0,78.33,94,0.6
0,0021900561,1610612762,Jazz,UTA,Utah,240:00,134.6,133.3,107.4,108.3,27.2,25.0,0.592,4.14,21.3,0.302,0.691,0.52,7.359,7.3,0.633,0.639,1.0,0.2,95.98,96.0,80.0,96,0.637
0,0021900544,1610612762,Jazz,UTA,Utah,240:00,126.0,130.6,125.7,127.3,0.3,3.3,0.413,2.38,14.9,0.217,0.706,0.474,7.877,8.2,0.6,0.636,1.0,0.197,100.88,98.5,82.08,98,0.487
0,0021900525,1610612762,Jazz,UTA,Utah,240:00,117.0,119.8,105.2,104.3,11.8,15.4,0.524,2.75,17.0,0.304,0.792,0.529,8.587,8.8,0.538,0.55,1.0,0.2,92.22,91.5,76.25,91,0.526
0,0021900511,1610612762,Jazz,UTA,Utah,240:00,106.6,108.5,100.5,104.3,6.1,4.3,0.649,1.41,18.9,0.256,0.655,0.485,17.768,18.1,0.559,0.595,1.0,0.199,96.58,94.0,78.33,94,0.538
0,0021900495,1610612762,Jazz,UTA,Utah,240:00,106.3,109.5,84.3,84.4,22.1,25.1,0.513,1.33,15.8,0.283,0.75,0.531,15.337,15.8,0.53,0.566,1.0,0.199,96.96,95.5,79.58,95,0.631
0,0021900485,1610612762,Jazz,UTA,Utah,240:00,119.4,123.7,108.2,110.3,11.2,13.4,0.556,1.92,19.0,0.262,0.689,0.515,12.938,13.4,0.622,0.642,1.0,0.197,99.68,97.0,80.83,97,0.563
0,0021900465,1610612762,Jazz,UTA,Utah,240:00,127.8,127.4,116.9,119.8,10.9,7.6,0.478,2.0,17.8,0.22,0.694,0.478,11.618,11.6,0.654,0.667,1.0,0.199,96.52,95.5,79.58,95,0.565
0,0021900449,1610612762,Jazz,UTA,Utah,240:00,104.1,104.0,104.0,105.9,0.1,-1.9,0.436,1.42,13.4,0.2,0.667,0.431,12.01,12.0,0.5,0.531,1.0,0.198,101.4,100.5,83.75,100,0.473
0,0021900430,1610612762,Jazz,UTA,Utah,240:00,117.8,118.8,109.5,112.6,8.2,6.1,0.692,1.29,20.5,0.297,0.735,0.547,21.694,21.9,0.633,0.68,1.0,0.198,97.24,95.5,79.58,96,0.555
0,0021900416,1610612762,Jazz,UTA,Utah,240:00,105.0,104.7,97.8,98.1,7.2,6.6,0.462,0.95,13.2,0.26,0.788,0.529,17.972,17.9,0.506,0.557,1.0,0.199,107.04,107.0,89.17,106,0.546
