,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
13,0021900816,1610612762,UTA,Utah,202711,Bojan Bogdanovic,F,,35:00,9.0,17.0,0.529,3.0,6.0,0.5,1.0,1.0,1.0,0.0,7.0,7.0,4.0,0.0,0.0,3.0,3.0,22.0,18.0
14,0021900816,1610612762,UTA,Utah,1626220,Royce O'Neale,F,,38:54,2.0,7.0,0.286,2.0,6.0,0.333,1.0,2.0,0.5,2.0,3.0,5.0,2.0,1.0,0.0,2.0,3.0,7.0,11.0
15,0021900816,1610612762,UTA,Utah,203497,Rudy Gobert,C,,36:35,7.0,12.0,0.583,0.0,0.0,0.0,2.0,2.0,1.0,5.0,15.0,20.0,1.0,0.0,2.0,2.0,3.0,16.0,25.0
16,0021900816,1610612762,UTA,Utah,204060,Joe Ingles,G,,31:44,1.0,9.0,0.111,0.0,5.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,9.0,1.0,0.0,1.0,2.0,4.0,16.0
17,0021900816,1610612762,UTA,Utah,1628378,Donovan Mitchell,G,,35:26,9.0,16.0,0.563,4.0,8.0,0.5,4.0,4.0,1.0,0.0,5.0,5.0,4.0,2.0,0.0,3.0,0.0,26.0,17.0
18,0021900816,1610612762,UTA,Utah,203903,Jordan Clarkson,,,25:22,8.0,12.0,0.667,4.0,6.0,0.667,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,2.0,3.0,21.0,3.0
19,0021900816,1610612762,UTA,Utah,1627777,Georges Niang,,,13:00,2.0,5.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,-3.0
20,0021900816,1610612762,UTA,Utah,1628396,Tony Bradley,,,11:25,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,8.0,-10.0
21,0021900816,1610612762,UTA,Utah,1626144,Emmanuel Mudiay,,,12:34,0.0,4.0,0.0,0.0,1.0,0.0,5.0,6.0,0.833,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,-2.0
22,0021900816,1610612762,UTA,Utah,1629752,Juwan Morgan,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
