,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2019-20,1610612762,UTA,Utah Jazz,0021900832,2020-02-21T00:00:00,UTA vs. SAS,L,48.0,35,82,0.427,12,33,0.364,22,26,0.846,6,41,47,25,17.0,4,6,7,18,20,104,-9.0,1,37,37,37,2,46,38,42,33,33,35,11,15,11,43,9,22,12,37,38,4,44,20,26,37,45
1,2019-20,1610612762,UTA,Utah Jazz,0021900816,2020-02-12T00:00:00,UTA vs. MIA,W,48.0,41,85,0.482,14,36,0.389,20,23,0.87,10,43,53,23,15.0,6,3,4,16,22,116,15.0,1,1,1,1,2,25,26,25,23,17,25,15,24,9,21,3,6,20,25,21,31,19,9,21,21,8
2,2019-20,1610612762,UTA,Utah Jazz,0021900798,2020-02-10T00:00:00,UTA @ DAL,W,48.0,46,78,0.59,15,35,0.429,16,21,0.762,10,35,45,27,21.0,5,2,3,29,18,123,4.0,1,1,1,1,2,6,47,1,16,24,14,30,31,33,21,36,28,9,48,28,42,6,51,38,9,28
3,2019-20,1610612762,UTA,Utah Jazz,0021900790,2020-02-09T00:00:00,UTA @ HOU,W,48.0,42,86,0.488,15,38,0.395,15,18,0.833,10,38,48,25,16.0,2,4,5,14,19,114,1.0,1,1,1,1,2,21,22,23,16,12,23,33,39,14,21,19,19,12,32,54,23,30,3,32,22,35
4,2019-20,1610612762,UTA,Utah Jazz,0021900776,2020-02-07T00:00:00,UTA vs. POR,W,48.0,45,91,0.495,10,30,0.333,17,24,0.708,13,43,56,21,15.0,6,2,4,19,18,117,3.0,1,1,1,1,2,11,9,21,42,44,41,25,20,40,5,3,2,32,25,21,42,19,26,38,19,31
5,2019-20,1610612762,UTA,Utah Jazz,0021900762,2020-02-05T00:00:00,UTA vs. DEN,L,48.0,36,86,0.419,14,39,0.359,9,14,0.643,7,39,46,20,14.0,5,1,5,16,17,95,-3.0,1,37,37,37,2,42,22,45,23,10,38,52,48,50,35,18,25,35,22,28,49,30,9,44,51,39
6,2019-20,1610612762,UTA,Utah Jazz,0021900735,2020-02-01T00:00:00,UTA @ POR,L,48.0,40,94,0.426,18,41,0.439,9,9,1.0,11,26,37,19,10.0,6,4,5,17,19,107,-17.0,1,37,37,37,2,27,4,43,3,7,12,52,55,1,13,55,51,39,6,21,23,30,15,32,34,52
7,2019-20,1610612762,UTA,Utah Jazz,0021900718,2020-01-30T00:00:00,UTA @ DEN,L,48.0,36,78,0.462,17,37,0.459,11,17,0.647,5,30,35,24,16.0,4,6,5,17,16,100,-6.0,1,37,37,37,2,42,47,33,6,15,7,46,42,49,48,52,55,15,32,38,4,30,15,48,47,42
8,2019-20,1610612762,UTA,Utah Jazz,0021900711,2020-01-29T00:00:00,UTA @ SAS,L,48.0,37,84,0.44,14,38,0.368,32,46,0.696,12,31,43,18,13.0,4,0,2,22,27,120,-7.0,1,37,37,37,2,39,31,38,23,12,33,1,1,43,8,49,33,46,16,38,53,4,38,3,13,44
9,2019-20,1610612762,UTA,Utah Jazz,0021900698,2020-01-27T00:00:00,UTA vs. HOU,L,48.0,43,85,0.506,12,42,0.286,19,26,0.731,2,36,38,24,18.0,7,3,4,33,25,117,-9.0,1,37,37,37,2,16,26,16,33,4,49,22,15,36,54,29,50,15,41,13,31,19,55,8,19,45
10,2019-20,1610612762,UTA,Utah Jazz,0021900680,2020-01-25T00:00:00,UTA vs. DAL,W,48.0,40,91,0.44,15,43,0.349,17,22,0.773,12,42,54,22,13.0,5,6,3,21,24,112,5.0,1,1,1,1,2,27,9,39,16,2,39,25,27,27,8,6,5,26,16,28,4,6,31,12,27,24
11,2019-20,1610612762,UTA,Utah Jazz,0021900665,2020-01-22T00:00:00,UTA @ GSW,W,48.0,50,93,0.538,17,40,0.425,12,23,0.522,15,41,56,31,11.0,5,3,5,19,23,129,33.0,1,1,1,1,2,1,5,9,6,8,16,44,24,55,1,9,2,2,8,28,31,30,26,16,2,1
12,2019-20,1610612762,UTA,Utah Jazz,0021900651,2020-01-20T00:00:00,UTA vs. IND,W,48.0,47,87,0.54,12,31,0.387,12,12,1.0,11,42,53,22,21.0,5,4,9,11,14,118,30.0,1,1,1,1,2,4,20,8,33,38,27,44,51,1,13,6,6,26,48,28,23,50,2,53,16,3
13,2019-20,1610612762,UTA,Utah Jazz,0021900636,2020-01-18T00:00:00,UTA vs. SAC,W,48.0,43,85,0.506,14,42,0.333,23,24,0.958,10,37,47,24,10.0,7,4,3,14,23,123,22.0,1,1,1,1,2,16,26,16,23,4,41,10,20,3,21,24,22,15,6,13,23,6,3,16,9,6
14,2019-20,1610612762,UTA,Utah Jazz,0021900616,2020-01-16T00:00:00,UTA @ NOP,L,53.0,46,100,0.46,15,39,0.385,25,32,0.781,11,32,43,23,13.0,9,6,9,29,27,132,-6.0,1,37,37,37,1,6,1,35,16,10,29,8,6,24,13,45,33,20,16,4,4,50,51,3,1,42
15,2019-20,1610612762,UTA,Utah Jazz,0021900599,2020-01-14T00:00:00,UTA @ BKN,W,48.0,46,92,0.5,13,36,0.361,13,15,0.867,7,34,41,19,9.0,8,3,4,15,13,118,11.0,1,1,1,1,2,6,7,20,31,17,37,40,47,10,35,40,42,39,5,7,31,19,6,54,16,14
16,2019-20,1610612762,UTA,Utah Jazz,0021900585,2020-01-12T00:00:00,UTA @ WAS,W,48.0,48,90,0.533,10,30,0.333,21,25,0.84,12,32,44,24,11.0,6,2,4,18,18,127,11.0,1,1,1,1,2,3,11,10,42,44,41,13,18,13,8,45,32,15,8,21,42,19,20,38,6,14
17,2019-20,1610612762,UTA,Utah Jazz,0021900574,2020-01-10T00:00:00,UTA vs. CHA,W,48.0,40,79,0.506,18,42,0.429,11,14,0.786,9,31,40,28,16.0,9,6,3,20,16,109,17.0,1,1,1,1,2,27,45,15,3,4,14,46,48,23,28,49,45,7,32,4,4,6,28,48,31,7
18,2019-20,1610612762,UTA,Utah Jazz,0021900561,2020-01-08T00:00:00,UTA vs. NYK,W,48.0,49,90,0.544,16,43,0.372,14,23,0.609,12,38,50,29,7.0,6,6,1,15,17,128,24.0,1,1,1,1,2,2,11,7,10,2,31,36,24,53,8,19,14,4,1,21,4,1,6,44,3,4
19,2019-20,1610612762,UTA,Utah Jazz,0021900544,2020-01-06T00:00:00,UTA @ NOP,W,48.0,46,90,0.511,16,33,0.485,20,24,0.833,7,36,43,19,8.0,3,3,5,25,20,128,2.0,1,1,1,1,2,6,11,14,10,33,5,15,20,14,35,29,33,39,3,47,31,30,44,26,3,33
20,2019-20,1610612762,UTA,Utah Jazz,0021900525,2020-01-04T00:00:00,UTA @ ORL,W,48.0,42,93,0.452,16,40,0.4,9,14,0.643,14,37,51,22,8.0,3,3,5,10,12,109,13.0,1,1,1,1,2,21,5,36,10,8,22,52,48,50,3,24,11,26,3,47,31,30,1,55,31,12
21,2019-20,1610612762,UTA,Utah Jazz,0021900511,2020-01-02T00:00:00,UTA @ CHI,W,48.0,37,76,0.487,11,30,0.367,17,22,0.773,7,35,42,24,17.0,5,6,5,17,15,102,4.0,1,1,1,1,2,39,51,24,39,44,34,25,27,27,35,36,39,15,37,28,4,30,15,51,43,28
22,2019-20,1610612762,UTA,Utah Jazz,0021900495,2019-12-30T00:00:00,UTA vs. DET,W,48.0,39,83,0.47,10,26,0.385,16,20,0.8,9,37,46,20,15.0,7,6,5,21,20,104,23.0,1,1,1,1,2,32,33,27,42,48,29,30,33,20,28,24,25,35,25,13,4,30,31,26,37,5
23,2019-20,1610612762,UTA,Utah Jazz,0021900485,2019-12-28T00:00:00,UTA @ LAC,W,48.0,45,86,0.523,17,35,0.486,13,17,0.765,6,41,47,25,13.0,4,2,4,20,18,120,13.0,1,1,1,1,2,11,22,11,6,24,4,40,42,32,43,9,22,12,16,38,42,19,28,38,13,12
