,SEASON_YEAR,TEAM_ID_x,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,2019-20,1610612762,UTA,Utah Jazz,21900816,2020-02-12T00:00:00,UTA vs. MIA,W,48.0,41,85,0.48200000000000004,14,36,0.389,20,23,0.87,10,43,53,23,15.0,6,3,4,16,22,116,15.0,115.9,117.2,101.0,101.0,14.9,16.2,0.561,1.53,17.3,0.261,0.8490000000000001,0.5760000000000001,14.982000000000001,15.2,0.565,0.61,1.0,0.198,100.08,99.5,82.92,99,0.593
1,2019-20,1610612762,UTA,Utah Jazz,21900798,2020-02-10T00:00:00,UTA @ DAL,W,48.0,46,78,0.59,15,35,0.429,16,21,0.762,10,35,45,27,21.0,5,2,3,29,18,123,4.0,125.2,125.5,119.4,121.4,5.8,4.1,0.5870000000000001,1.29,20.0,0.314,0.848,0.617,21.375999999999998,21.4,0.6859999999999999,0.705,1.0,0.198,98.94,98.0,81.67,98,0.515
2,2019-20,1610612762,UTA,Utah Jazz,21900790,2020-02-09T00:00:00,UTA @ HOU,W,48.0,42,86,0.488,15,38,0.395,15,18,0.833,10,38,48,25,16.0,2,4,5,14,19,114,1.0,114.1,117.5,110.6,116.5,3.5,1.0,0.595,1.56,18.5,0.304,0.759,0.55,16.012999999999998,16.5,0.5760000000000001,0.607,1.0,0.198,101.04,97.0,80.83,97,0.532
3,2019-20,1610612762,UTA,Utah Jazz,21900776,2020-02-07T00:00:00,UTA vs. POR,W,48.0,45,91,0.495,10,30,0.33299999999999996,17,24,0.708,13,43,56,21,15.0,6,2,4,19,18,117,3.0,113.0,117.0,111.6,112.9,1.4,4.1,0.467,1.4,15.3,0.34,0.782,0.5710000000000001,14.484000000000002,15.0,0.5489999999999999,0.5760000000000001,1.0,0.19899999999999998,102.86,100.5,83.75,100,0.539
4,2019-20,1610612762,UTA,Utah Jazz,21900762,2020-02-05T00:00:00,UTA vs. DEN,L,48.0,36,86,0.419,14,39,0.359,9,14,0.643,7,39,46,20,14.0,5,1,5,16,17,95,-3.0,95.8,97.9,102.2,101.0,-6.4,-3.1,0.556,1.43,15.9,0.212,0.727,0.47700000000000004,14.119000000000002,14.4,0.5,0.515,1.0,0.2,97.54,97.0,80.83,97,0.456
5,2019-20,1610612762,UTA,Utah Jazz,21900735,2020-02-01T00:00:00,UTA @ POR,L,48.0,40,94,0.426,18,41,0.439,9,9,1.0,11,26,37,19,10.0,6,4,5,17,19,107,-17.0,110.4,111.5,126.6,127.8,-16.3,-16.4,0.475,1.9,15.0,0.24100000000000002,0.617,0.41600000000000004,10.314,10.4,0.521,0.546,1.0,0.198,97.44,96.5,80.42,96,0.423
6,2019-20,1610612762,UTA,Utah Jazz,21900718,2020-01-30T00:00:00,UTA @ DEN,L,48.0,36,78,0.462,17,37,0.45899999999999996,11,17,0.647,5,30,35,24,16.0,4,6,5,17,16,100,-6.0,103.6,106.4,110.1,111.6,-6.5,-5.2,0.667,1.5,19.1,0.2,0.733,0.467,16.584,17.0,0.5710000000000001,0.585,1.0,0.201,96.36,94.5,78.75,94,0.441
7,2019-20,1610612762,UTA,Utah Jazz,21900711,2020-01-29T00:00:00,UTA @ SAS,L,48.0,37,84,0.44,14,38,0.368,32,46,0.696,12,31,43,18,13.0,4,0,2,22,27,120,-7.0,114.0,116.5,126.7,127.0,-12.7,-10.5,0.486,1.38,13.3,0.377,0.865,0.578,12.353,12.6,0.524,0.5760000000000001,1.0,0.201,102.72,101.5,84.58,103,0.42100000000000004
8,2019-20,1610612762,UTA,Utah Jazz,21900698,2020-01-27T00:00:00,UTA vs. HOU,L,48.0,43,85,0.506,12,42,0.28600000000000003,19,26,0.731,2,36,38,24,18.0,7,3,4,33,25,117,-9.0,104.1,107.3,111.0,115.6,-6.9,-8.3,0.5579999999999999,1.33,17.3,0.182,0.765,0.495,16.009,16.5,0.5760000000000001,0.607,1.0,0.19899999999999998,113.0,109.0,90.83,109,0.48700000000000004
9,2019-20,1610612762,UTA,Utah Jazz,21900680,2020-01-25T00:00:00,UTA vs. DAL,W,48.0,40,91,0.44,15,43,0.349,17,22,0.773,12,42,54,22,13.0,5,6,3,21,24,112,5.0,110.1,113.1,105.2,109.2,5.0,3.9,0.55,1.69,16.2,0.327,0.741,0.54,12.785,13.1,0.522,0.556,1.0,0.201,101.7,98.5,82.08,99,0.56
